Month,Max Temp. (degree Celcius),Min Temp. (degree Celcius),Rainfall (mm),Actual Evaporation (mm),"Relative Humidity (morning, %)","Relative Humidity (afternoon, %)",Sunshine (hour/day),Cloudy (hour/day),Solar Radiation (cal/cm^2/day),MAX_WL(m),MIN_WL(m),AVE_WL(m)
5,36.4,26.0,0.0,4.0,96,59.0,8.9,4.3,476.48,1.6,0.2,0.99
5,35.8,26.2,0.0,3.0,92,57.0,8.9,4.3,476.48,1.73,0.18,1.09
5,34.2,27.0,32.0,5.0,92,59.0,6.0,7.2,382.09,1.61,0.19,1.11
5,32.4,21.2,0.0,4.0,100,77.0,7.0,6.2,414.64,1.57,0.24,1.05
5,33.8,22.8,16.8,4.8,96,71.0,6.1,9.1,320.25,1.25,0.35,0.92
5,32.2,22.8,0.0,4.0,95,65.0,6.8,6.4,408.13,1.18,0.38,0.85
5,36.8,23.8,0.0,4.0,96,65.74074074074075,7.2,6.0,421.15,1.16,0.46,0.9
5,36.2,28.4,0.0,4.0,96,65.0,9.3,3.9,489.5,1.22,0.48,0.82
5,36.8,28.4,0.0,4.0,92,65.0,8.5,4.7,46.346,1.34,0.46,0.92
5,36.4,28.4,0.0,4.0,92,68.0,9.2,4.0,486.25,1.45,0.43,0.98
5,36.0,28.2,0.0,3.0,92,65.0,8.4,4.8,460.21,1.64,0.35,1.01
5,36.0,28.0,0.0,4.0,92,65.0,8.8,4.4,473.23,1.82,0.25,1.12
5,36.6,28.8,0.0,3.0,92,62.0,8.9,4.3,476.48,1.93,0.28,1.25
5,36.4,26.4,0.0,5.0,92,65.74074074074075,8.5,4.7,463.46,2.03,0.21,1.27
5,37.2,27.0,0.0,5.0,92,62.0,8.8,4.4,473.23,2.08,0.2,1.19
5,37.6,27.6,0.0,5.0,87,49.0,8.1,5.1,450.44,2.03,0.18,1.27
5,33.8,26.0,5.8,3.8,87,68.0,0.0,13.2,186.8,1.89,0.29,1.31
5,29.0,26.8,9.4,2.4,91,96.0,0.0,13.2,186.8,1.6,0.36,1.16
5,33.0,25.013333333333332,0.0,3.0,92,84.0,4.6,8.6,336.52,1.75,0.67,1.27
6,33.4,27.2,104.4,3.4,92,62.0,2.9,10.6,282.68,1.67,0.97,1.4
6,30.0,24.4,22.4,5.0,96,80.8,3.9,9.6,314.91,1.54,1.13,1.28
6,33.6,22.6,0.0,4.0,92,75.0,9.0,4.5,479.31,1.58,1.0,1.28
6,34.4,28.0,0.0,4.2,96,71.0,5.4,8.1,363.26,1.6,0.94,1.27
6,33.0,27.0,39.2,4.0,92,74.0,3.0,10.5,285.9,1.64,0.82,1.28
6,34.4,23.2,0.0,3.0,96,75.0,6.0,7.5,382.6,1.77,0.8,1.28
6,36.2,26.8,0.0,3.6,96,62.0,8.1,5.4,450.3,1.91,0.47,1.27
6,35.0,28.2,1.6,4.0,96,71.0,4.35,9.0,336.25,1.93,0.46,1.21
6,34.4,26.8,0.0,3.8,96,80.8,6.9,6.6,411.62,2.04,0.49,1.45
6,34.4,26.8,1.8,2.0,96,64.0,7.8,5.7,440.63,2.05,0.5,1.52
6,34.4,26.0,54.0,2.0,96,92.0,0.0,13.5,189.2,2.2,0.89,1.64
6,27.2,25.0,20.0,2.0,100,96.0,0.0,13.5,189.2,2.27,1.34,1.86
6,32.0,25.0,0.0,2.0,96,92.0,0.0,13.5,189.2,2.08,1.04,1.65
6,31.8,25.0,0.0,3.0,96,80.0,6.7,6.8,405.17,2.0,0.92,1.58
6,30.0,27.4,26.0,3.0,96,80.0,1.2,12.3,227.88,1.87,0.94,1.5
6,28.6,25.6,0.0,3.0,96,80.8,7.2,6.3,421.29,1.73,1.14,1.46
6,33.0,26.6,8.0,3.0,96,96.0,3.9,9.6,314.91,1.68,0.97,1.36
6,34.0,27.2,3.6,3.6,96,81.0,5.0,8.5,350.37,1.56,0.98,1.3
6,32.4,27.6,68.2,0.0,96,92.0,1.1,12.4,224.66,1.67,1.0,1.4
6,29.8,23.0,70.0,3.0,96,80.0,2.7,10.8,276.23,1.85,1.1,1.55
6,30.4,24.0,0.0,4.0,96,92.0,0.9,12.6,218.21,1.98,1.06,1.51
6,31.6,25.8,0.0,5.0,96,80.0,6.1,7.4,385.83,2.05,0.8,1.45
6,32.4,26.6,1.8,3.8,96,80.8,7.4,6.1,427.73,2.21,0.78,1.57
6,31.8,26.2,1.6,3.6,96,92.0,6.3,9.051724137931034,392.27,2.23,0.85,1.61
6,31.2,26.2,0.8,3.8,96,84.0,5.6,7.9,369.71,2.26,0.9,1.67
6,31.4,27.2,4.6,3.6,96,80.0,5.3,8.2,360.04,2.25,0.97,1.68
6,33.0,27.0,5.4,4.4,96,84.0,6.1,7.4,385.83,2.22,1.06,1.75
6,31.6,27.0,1.2,4.2,96,88.0,5.0,8.5,350.37,2.05,1.12,1.7
6,31.6,26.8,0.0,3.0,96,77.0,6.3,7.2,392.27,1.91,1.14,1.59
6,30.8,27.0,6.6,2.6,96,80.8,1.0,12.5,221.43,1.8,1.17,1.5
7,30.6,27.2,22.4,2.4,96,92.0,2.8,10.6,277.76,1.71,1.24,1.47
7,29.4,25.8,23.2,0.0,96,92.0,0.0,13.4,187.6,1.74,1.27,1.5
7,28.2,26.0,3.0,2.0,96,96.0,0.0,13.4,187.6,1.7,1.25,1.45
7,29.0,26.2,10.0,2.0,96,96.0,0.0,13.4,187.6,1.71,0.98,1.39
7,28.0,26.2,88.4,2.4,100,100.0,0.0,13.4,187.6,1.88,0.95,1.47
7,29.8,25.6,14.0,3.0,96,96.0,4.1,9.3,319.62,1.81,0.87,1.45
7,29.6,26.2,22.0,4.0,100,92.0,2.7,10.7,274.54,1.96,0.86,1.5
7,30.4,25.8,4.4,2.4,96,96.0,1.4,12.0,232.68,2.09,0.85,1.59
7,30.4,26.2,6.4,2.4,96,84.0,2.6,10.8,271.32,2.14,0.88,1.68
7,28.4,26.0,21.0,2.0,96,96.0,0.4,13.0,200.48,2.17,1.03,1.73
7,30.0,25.6,0.6,1.6,100,96.0,0.5,12.9,203.7,2.14,1.08,1.72
7,30.6,25.6,0.0,2.0,96,96.0,1.3,12.1,229.46,2.16,1.13,1.71
7,27.0,26.2,8.4,1.4,96,96.0,0.0,13.4,187.6,2.05,1.24,1.74
7,29.0,25.2,0.0,3.0,96,77.0,8.2,5.2,451.64,2.02,1.26,1.75
7,32.8,26.0,0.0,3.0,87,74.0,8.7,4.7,467.74,1.94,1.36,1.7
7,33.8,26.8,1.6,4.6,92,67.0,8.0,5.4,445.2,1.9,1.44,1.7
7,34.6,27.0,0.0,5.0,96,67.0,8.8,4.6,470.96,1.89,1.46,1.7
7,32.8,27.6,21.2,5.2,92,71.0,7.3,6.1,422.66,1.95,1.49,1.75
7,26.8,25.8,38.0,2.0,96,96.0,0.0,13.4,187.6,2.16,1.62,1.87
7,26.0,25.0,57.0,3.0,96,96.0,0.0,13.4,187.6,2.31,1.46,1.91
7,28.8,20.4,14.2,2.2,100,92.0,0.0,13.4,187.6,2.24,1.44,1.84
7,27.2,25.2,5.0,2.0,96,96.0,0.0,13.4,187.6,2.27,1.26,1.84
7,27.8,25.8,12.8,1.8,96,96.0,1.2,12.2,226.24,2.36,1.23,1.88
7,25.6,25.0,72.0,2.0,96,96.0,0.0,13.4,187.6,2.57,1.4,1.97
7,26.4,24.0,14.0,2.0,100,96.0,0.0,13.4,187.6,2.42,1.42,1.98
7,28.0,24.2,0.0,3.0,100,92.0,0.5,12.9,203.7,2.37,1.43,1.98
7,31.0,24.8,7.6,1.6,96,84.0,4.4,9.0,329.28,2.19,1.3,1.84
7,31.2,26.0,15.12,2.2,96,88.0,2.5,10.9,268.1,2.04,1.46,1.73
7,31.6,26.2,0.0,2.0,100,84.0,1.7,11.7,242.34,1.85,1.36,1.57
7,32.0,26.6,0.0,2.0,96,84.0,3.6,9.8,303.52,1.74,1.14,1.46
7,33.2,27.0,0.0,4.0,96,78.0,9.4,4.0,490.28,1.63,1.17,1.4
8,32.4,27.4,7.2,2.2,96,78.0,6.1,6.7,384.4235938,1.52,1.21,1.35
8,33.4,27.6,0.6,3.6,96,81.0,6.3,6.5,391.0145313,1.62,0.91,1.28
8,32.6,26.8,4.6,1.6,96,81.0,3.7,9.1,305.3323438,1.74,0.89,1.34
8,32.6,26.8,0.8,2.8,96,74.0,6.3,6.5,391.0145313,1.75,0.88,1.33
8,32.6,27.0,15.6,3.6,96,77.0,6.8,6.0,407.491875,1.92,0.83,1.42
8,31.4,26.4,59.6,3.6,96,96.0,1.6,11.2,236.1275,1.97,0.82,1.51
8,28.8,24.8,8.4,3.4,96,92.0,2.0,10.8,249.309375,2.09,0.86,1.62
8,31.4,24.8,4.2,3.2,96,80.0,4.2,8.6,321.8096875,2.16,1.02,1.69
8,33.0,26.6,0.0,4.0,96,81.0,7.9,4.9,443.7420313,2.23,1.06,1.72
8,29.0,27.4,31.2,2.2,96,96.0,0.0,12.8,183.4,2.25,1.13,1.75
8,31.0,25.6,5.4,2.4,96,84.0,2.5,10.3,265.7867188,2.11,1.1,1.71
8,30.8,26.0,0.0,2.0,96,88.0,0.5,12.3,199.8773438,2.07,1.06,1.69
8,31.8,26.2,19.4,2.4,96,81.0,3.4,9.4,295.4459375,2.02,1.03,1.63
8,28.8,26.2,4.6,2.6,96,96.0,0.1,12.7,186.6954688,1.97,1.05,1.57
8,31.4,26.0,5.0,4.0,96,88.0,5.8,7.0,374.5371875,1.84,1.02,1.49
8,31.4,26.4,5.8,2.8,96,80.0,7.0,5.8,414.0828125,2.12,1.36,1.78
8,31.2,26.4,2.6,3.6,96,77.0,8.6,4.2,466.8103125,2.26,1.4,1.87
8,32.0,26.2,0.0,4.0,96,77.0,9.6,3.2,499.765,2.34,1.42,1.91
8,34.8,27.0,0.6,3.6,96,68.0,7.2,5.6,420.67375,2.37,1.33,1.92
8,35.2,27.2,3.4,2.4,96,88.0,1.3,11.5,226.2410938,2.44,1.3,1.92
8,34.2,27.0,0.0,3.0,96,74.0,8.8,4.0,473.40125,2.31,1.28,1.92
8,31.4,27.2,44.4,4.4,96,87.0,0.4,12.4,196.581875,2.23,1.24,1.85
8,30.8,25.6,9.4,3.4,96,84.0,7.2,5.6,420.67375,2.16,1.22,1.82
8,30.8,25.6,7.6,3.6,96,84.0,6.6,6.2,400.9009375,2.19,1.25,1.83
8,31.4,25.8,7.8,2.8,96,96.0,6.8,6.0,407.491875,2.07,1.21,1.73
8,32.8,25.8,4.4,3.4,96,81.0,6.0,6.8,381.128125,1.98,1.18,1.66
8,31.2,26.2,6.2,2.2,96,92.0,3.2,9.6,288.855,1.91,1.16,1.6
9,31.0,25.2,11.4,2.4,96,91.0,2.0,10.2,223.9081967,1.8,1.12,1.5
9,30.8,25.0,6.4,2.4,96,92.0,2.1,10.1,226.9736066,1.83,1.14,1.45
9,32.8,25.4,14.2,3.2,96,84.0,4.5,7.7,300.5434426,1.87,1.18,1.57
9,33.2,26.0,0.0,2.0,96,92.0,1.7,10.5,214.7119672,1.89,0.91,1.46
9,33.0,26.4,3.4,2.4,96,74.0,4.7,7.5,306.6742623,1.92,0.8,1.41
9,34.0,27.0,0.0,4.0,96,71.0,7.4,4.8,389.4403279,1.97,0.84,1.43
